100, 1.9e-05
1000, 0.000297
5000, 0.002456
10000, 0.005922
50000, 0.042236
100000, 0.101757
200000, 0.225258
400000, 0.6217
600000, 0.780762
100, 2e-05
1000, 0.000303
5000, 0.002453
10000, 0.006008
50000, 0.044956
100000, 0.098906
200000, 0.224017
400000, 0.528191
600000, 0.800036
800000, 1.35144
1000000, 1.63476
100, 0
1000, 0.00029
5000, 0.00247
10000, 0.005869
50000, 0.044657
100000, 0.103348
200000, 0.223855
400000, 0.525916
600000, 0.81638
800000, 1.4032
1000000, 1.54032
100, 2e-05
1000, 0.000291
5000, 0.002558
10000, 0.005733
50000, 0.045236
100000, 0.100589
200000, 0.228917
400000, 0.530764
