 Write n value:  Prime factors = {}

 Zn = {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96}
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96
	66	35	4	70	39	8	74	43	12	78	47	16	82	51	20	86	55	24	90	59	28	94	63	32	1	67	36	5	71	40	9	75	44	13	79	48	17	83	52	21	87	56	25	91	60	29	95	64	33	2	68	37	6	72	41	10	76	45	14	80	49	18	84	53	22	88	57	26	92	61	30	96	65	34	3	69	38	7	73	42	11	77	46	15	81	50	19	85	54	23	89	58	27	93	62	31
	67	37	7	74	44	14	81	51	21	88	58	28	95	65	35	5	72	42	12	79	49	19	86	56	26	93	63	33	3	70	40	10	77	47	17	84	54	24	91	61	31	1	68	38	8	75	45	15	82	52	22	89	59	29	96	66	36	6	73	43	13	80	50	20	87	57	27	94	64	34	4	71	41	11	78	48	18	85	55	25	92	62	32	2	69	39	9	76	46	16	83	53	23	90	60	30
	68	39	10	78	49	20	88	59	30	1	69	40	11	79	50	21	89	60	31	2	70	41	12	80	51	22	90	61	32	3	71	42	13	81	52	23	91	62	33	4	72	43	14	82	53	24	92	63	34	5	73	44	15	83	54	25	93	64	35	6	74	45	16	84	55	26	94	65	36	7	75	46	17	85	56	27	95	66	37	8	76	47	18	86	57	28	96	67	38	9	77	48	19	87	58	29
	69	41	13	82	54	26	95	67	39	11	80	52	24	93	65	37	9	78	50	22	91	63	35	7	76	48	20	89	61	33	5	74	46	18	87	59	31	3	72	44	16	85	57	29	1	70	42	14	83	55	27	96	68	40	12	81	53	25	94	66	38	10	79	51	23	92	64	36	8	77	49	21	90	62	34	6	75	47	19	88	60	32	4	73	45	17	86	58	30	2	71	43	15	84	56	28
	70	43	16	86	59	32	5	75	48	21	91	64	37	10	80	53	26	96	69	42	15	85	58	31	4	74	47	20	90	63	36	9	79	52	25	95	68	41	14	84	57	30	3	73	46	19	89	62	35	8	78	51	24	94	67	40	13	83	56	29	2	72	45	18	88	61	34	7	77	50	23	93	66	39	12	82	55	28	1	71	44	17	87	60	33	6	76	49	22	92	65	38	11	81	54	27
	71	45	19	90	64	38	12	83	57	31	5	76	50	24	95	69	43	17	88	62	36	10	81	55	29	3	74	48	22	93	67	41	15	86	60	34	8	79	53	27	1	72	46	20	91	65	39	13	84	58	32	6	77	51	25	96	70	44	18	89	63	37	11	82	56	30	4	75	49	23	94	68	42	16	87	61	35	9	80	54	28	2	73	47	21	92	66	40	14	85	59	33	7	78	52	26
	72	47	22	94	69	44	19	91	66	41	16	88	63	38	13	85	60	35	10	82	57	32	7	79	54	29	4	76	51	26	1	73	48	23	95	70	45	20	92	67	42	17	89	64	39	14	86	61	36	11	83	58	33	8	80	55	30	5	77	52	27	2	74	49	24	96	71	46	21	93	68	43	18	90	65	40	15	87	62	37	12	84	59	34	9	81	56	31	6	78	53	28	3	75	50	25
	73	49	25	1	74	50	26	2	75	51	27	3	76	52	28	4	77	53	29	5	78	54	30	6	79	55	31	7	80	56	32	8	81	57	33	9	82	58	34	10	83	59	35	11	84	60	36	12	85	61	37	13	86	62	38	14	87	63	39	15	88	64	40	16	89	65	41	17	90	66	42	18	91	67	43	19	92	68	44	20	93	69	45	21	94	70	46	22	95	71	47	23	96	72	48	24
	74	51	28	5	79	56	33	10	84	61	38	15	89	66	43	20	94	71	48	25	2	76	53	30	7	81	58	35	12	86	63	40	17	91	68	45	22	96	73	50	27	4	78	55	32	9	83	60	37	14	88	65	42	19	93	70	47	24	1	75	52	29	6	80	57	34	11	85	62	39	16	90	67	44	21	95	72	49	26	3	77	54	31	8	82	59	36	13	87	64	41	18	92	69	46	23
	75	53	31	9	84	62	40	18	93	71	49	27	5	80	58	36	14	89	67	45	23	1	76	54	32	10	85	63	41	19	94	72	50	28	6	81	59	37	15	90	68	46	24	2	77	55	33	11	86	64	42	20	95	73	51	29	7	82	60	38	16	91	69	47	25	3	78	56	34	12	87	65	43	21	96	74	52	30	8	83	61	39	17	92	70	48	26	4	79	57	35	13	88	66	44	22
	76	55	34	13	89	68	47	26	5	81	60	39	18	94	73	52	31	10	86	65	44	23	2	78	57	36	15	91	70	49	28	7	83	62	41	20	96	75	54	33	12	88	67	46	25	4	80	59	38	17	93	72	51	30	9	85	64	43	22	1	77	56	35	14	90	69	48	27	6	82	61	40	19	95	74	53	32	11	87	66	45	24	3	79	58	37	16	92	71	50	29	8	84	63	42	21
	77	57	37	17	94	74	54	34	14	91	71	51	31	11	88	68	48	28	8	85	65	45	25	5	82	62	42	22	2	79	59	39	19	96	76	56	36	16	93	73	53	33	13	90	70	50	30	10	87	67	47	27	7	84	64	44	24	4	81	61	41	21	1	78	58	38	18	95	75	55	35	15	92	72	52	32	12	89	69	49	29	9	86	66	46	26	6	83	63	43	23	3	80	60	40	20
	78	59	40	21	2	80	61	42	23	4	82	63	44	25	6	84	65	46	27	8	86	67	48	29	10	88	69	50	31	12	90	71	52	33	14	92	73	54	35	16	94	75	56	37	18	96	77	58	39	20	1	79	60	41	22	3	81	62	43	24	5	83	64	45	26	7	85	66	47	28	9	87	68	49	30	11	89	70	51	32	13	91	72	53	34	15	93	74	55	36	17	95	76	57	38	19
	79	61	43	25	7	86	68	50	32	14	93	75	57	39	21	3	82	64	46	28	10	89	71	53	35	17	96	78	60	42	24	6	85	67	49	31	13	92	74	56	38	20	2	81	63	45	27	9	88	70	52	34	16	95	77	59	41	23	5	84	66	48	30	12	91	73	55	37	19	1	80	62	44	26	8	87	69	51	33	15	94	76	58	40	22	4	83	65	47	29	11	90	72	54	36	18
	80	63	46	29	12	92	75	58	41	24	7	87	70	53	36	19	2	82	65	48	31	14	94	77	60	43	26	9	89	72	55	38	21	4	84	67	50	33	16	96	79	62	45	28	11	91	74	57	40	23	6	86	69	52	35	18	1	81	64	47	30	13	93	76	59	42	25	8	88	71	54	37	20	3	83	66	49	32	15	95	78	61	44	27	10	90	73	56	39	22	5	85	68	51	34	17
	81	65	49	33	17	1	82	66	50	34	18	2	83	67	51	35	19	3	84	68	52	36	20	4	85	69	53	37	21	5	86	70	54	38	22	6	87	71	55	39	23	7	88	72	56	40	24	8	89	73	57	41	25	9	90	74	58	42	26	10	91	75	59	43	27	11	92	76	60	44	28	12	93	77	61	45	29	13	94	78	62	46	30	14	95	79	63	47	31	15	96	80	64	48	32	16
	82	67	52	37	22	7	89	74	59	44	29	14	96	81	66	51	36	21	6	88	73	58	43	28	13	95	80	65	50	35	20	5	87	72	57	42	27	12	94	79	64	49	34	19	4	86	71	56	41	26	11	93	78	63	48	33	18	3	85	70	55	40	25	10	92	77	62	47	32	17	2	84	69	54	39	24	9	91	76	61	46	31	16	1	83	68	53	38	23	8	90	75	60	45	30	15
	83	69	55	41	27	13	96	82	68	54	40	26	12	95	81	67	53	39	25	11	94	80	66	52	38	24	10	93	79	65	51	37	23	9	92	78	64	50	36	22	8	91	77	63	49	35	21	7	90	76	62	48	34	20	6	89	75	61	47	33	19	5	88	74	60	46	32	18	4	87	73	59	45	31	17	3	86	72	58	44	30	16	2	85	71	57	43	29	15	1	84	70	56	42	28	14
	84	71	58	45	32	19	6	90	77	64	51	38	25	12	96	83	70	57	44	31	18	5	89	76	63	50	37	24	11	95	82	69	56	43	30	17	4	88	75	62	49	36	23	10	94	81	68	55	42	29	16	3	87	74	61	48	35	22	9	93	80	67	54	41	28	15	2	86	73	60	47	34	21	8	92	79	66	53	40	27	14	1	85	72	59	46	33	20	7	91	78	65	52	39	26	13
	85	73	61	49	37	25	13	1	86	74	62	50	38	26	14	2	87	75	63	51	39	27	15	3	88	76	64	52	40	28	16	4	89	77	65	53	41	29	17	5	90	78	66	54	42	30	18	6	91	79	67	55	43	31	19	7	92	80	68	56	44	32	20	8	93	81	69	57	45	33	21	9	94	82	70	58	46	34	22	10	95	83	71	59	47	35	23	11	96	84	72	60	48	36	24	12
	86	75	64	53	42	31	20	9	95	84	73	62	51	40	29	18	7	93	82	71	60	49	38	27	16	5	91	80	69	58	47	36	25	14	3	89	78	67	56	45	34	23	12	1	87	76	65	54	43	32	21	10	96	85	74	63	52	41	30	19	8	94	83	72	61	50	39	28	17	6	92	81	70	59	48	37	26	15	4	90	79	68	57	46	35	24	13	2	88	77	66	55	44	33	22	11
	87	77	67	57	47	37	27	17	7	94	84	74	64	54	44	34	24	14	4	91	81	71	61	51	41	31	21	11	1	88	78	68	58	48	38	28	18	8	95	85	75	65	55	45	35	25	15	5	92	82	72	62	52	42	32	22	12	2	89	79	69	59	49	39	29	19	9	96	86	76	66	56	46	36	26	16	6	93	83	73	63	53	43	33	23	13	3	90	80	70	60	50	40	30	20	10
	88	79	70	61	52	43	34	25	16	7	95	86	77	68	59	50	41	32	23	14	5	93	84	75	66	57	48	39	30	21	12	3	91	82	73	64	55	46	37	28	19	10	1	89	80	71	62	53	44	35	26	17	8	96	87	78	69	60	51	42	33	24	15	6	94	85	76	67	58	49	40	31	22	13	4	92	83	74	65	56	47	38	29	20	11	2	90	81	72	63	54	45	36	27	18	9
	89	81	73	65	57	49	41	33	25	17	9	1	90	82	74	66	58	50	42	34	26	18	10	2	91	83	75	67	59	51	43	35	27	19	11	3	92	84	76	68	60	52	44	36	28	20	12	4	93	85	77	69	61	53	45	37	29	21	13	5	94	86	78	70	62	54	46	38	30	22	14	6	95	87	79	71	63	55	47	39	31	23	15	7	96	88	80	72	64	56	48	40	32	24	16	8
	90	83	76	69	62	55	48	41	34	27	20	13	6	96	89	82	75	68	61	54	47	40	33	26	19	12	5	95	88	81	74	67	60	53	46	39	32	25	18	11	4	94	87	80	73	66	59	52	45	38	31	24	17	10	3	93	86	79	72	65	58	51	44	37	30	23	16	9	2	92	85	78	71	64	57	50	43	36	29	22	15	8	1	91	84	77	70	63	56	49	42	35	28	21	14	7
	91	85	79	73	67	61	55	49	43	37	31	25	19	13	7	1	92	86	80	74	68	62	56	50	44	38	32	26	20	14	8	2	93	87	81	75	69	63	57	51	45	39	33	27	21	15	9	3	94	88	82	76	70	64	58	52	46	40	34	28	22	16	10	4	95	89	83	77	71	65	59	53	47	41	35	29	23	17	11	5	96	90	84	78	72	66	60	54	48	42	36	30	24	18	12	6
	92	87	82	77	72	67	62	57	52	47	42	37	32	27	22	17	12	7	2	94	89	84	79	74	69	64	59	54	49	44	39	34	29	24	19	14	9	4	96	91	86	81	76	71	66	61	56	51	46	41	36	31	26	21	16	11	6	1	93	88	83	78	73	68	63	58	53	48	43	38	33	28	23	18	13	8	3	95	90	85	80	75	70	65	60	55	50	45	40	35	30	25	20	15	10	5
	93	89	85	81	77	73	69	65	61	57	53	49	45	41	37	33	29	25	21	17	13	9	5	1	94	90	86	82	78	74	70	66	62	58	54	50	46	42	38	34	30	26	22	18	14	10	6	2	95	91	87	83	79	75	71	67	63	59	55	51	47	43	39	35	31	27	23	19	15	11	7	3	96	92	88	84	80	76	72	68	64	60	56	52	48	44	40	36	32	28	24	20	16	12	8	4
	94	91	88	85	82	79	76	73	70	67	64	61	58	55	52	49	46	43	40	37	34	31	28	25	22	19	16	13	10	7	4	1	95	92	89	86	83	80	77	74	71	68	65	62	59	56	53	50	47	44	41	38	35	32	29	26	23	20	17	14	11	8	5	2	96	93	90	87	84	81	78	75	72	69	66	63	60	57	54	51	48	45	42	39	36	33	30	27	24	21	18	15	12	9	6	3
	95	93	91	89	87	85	83	81	79	77	75	73	71	69	67	65	63	61	59	57	55	53	51	49	47	45	43	41	39	37	35	33	31	29	27	25	23	21	19	17	15	13	11	9	7	5	3	1	96	94	92	90	88	86	84	82	80	78	76	74	72	70	68	66	64	62	60	58	56	54	52	50	48	46	44	42	40	38	36	34	32	30	28	26	24	22	20	18	16	14	12	10	8	6	4	2
	96	95	94	93	92	91	90	89	88	87	86	85	84	83	82	81	80	79	78	77	76	75	74	73	72	71	70	69	68	67	66	65	64	63	62	61	60	59	58	57	56	55	54	53	52	51	50	49	48	47	46	45	44	43	42	41	40	39	38	37	36	35	34	33	32	31	30	29	28	27	26	25	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1
